Železničné správy sú povinné používať pre tlak vzdušnín, podľa vyhlášky Medzinárodnej železničnej únie (UIC) jednotku:|1 bar|1 Pascal|1 Atm
Kinetická energia vozidla je určená: (i)|hmotnosťou a rýchlosťou vozidla|pohybom rotujúcich hmôt|rýchlosťou vozidla a odporom ovzdušia
Brzdiaca sila je sila pôsobiaca proti smeru pohybu vozidla. Podľa spôsobu marenia kinetickej energie a podľa vzniku brzdiacej sily rozdeľujeme brzdy na:|trecie a dynamické|trecie a adhézne|adhézne a neadhézne
Medzi zdržou a jazdnou plochou kolesa vzniká trenie:|šmykové|adhézne|brzdné
Najväčšia sila, ktorá môže pôsobiť na koleso v styku s koľajnicou ,závisí od zvislej sily, ktorú vyvodzuje koleso na koľajnici a od súčiniteľa adhézie. Táto sila sa nazýva:|adhézna|trecia|brzdiaca
Aby nedošlo k šmyku, adhézna sila musí byť: (i)|väčšia, prípadne rovná ako brzdná sila|menšia ako brzdná sila|rovná brzdnej sile
Šmyk kolies po koľajnici je nežiaduci z dôvodu:|predlženia zábrzdnej dráhy a vzniku plochých miest na jazdnej ploche kolies|vzniku šmyku dvojkolesí a je nebezpečenstvo vykoľajenia|vzniku plošiny na kolesách
Medzi kolesom a koľajnicou pôsobí dotyková sila, ktorá bráni šmýkaniu kolesa po koľajnici. Táto sila sa nazýva:|adhézna|trecia|zvislá
Pri nákladných vozňoch máme brzdenie podľa prípustnej hmotnosti vozňa, čím sa ovláda brzdenie nákladných vozňov?|pomocou ručne obsluhovaného prestavovača|prestavením režimu brzdenia G-P|prestavením režimu brzdenia, prestavovačom na HKV
Akým zariadením sú vybavené nákladné vozne jazdiace v režime "SS"(do 120 km/h)|zariadením pre samočinné brzdenie podľa nákladu|ručným prestavovačom s dvomi poloham|kombinovaným zariadením brzdenia podľa nákladu, vozne SS
Brzdiace percentá sú uvedené v:|ZCP a správe o brzdení|tabuľkách traťových pomerov a cestovnom poriadku|tabuľkách brzdiacich percent
Železničné vozidlá podľa predpisov UIC sú vybavené:|priebežnou samočinnou tlakovou brzdou|dynamickou brzdou|brzdami trecími a dynamickými
Pojem "priebežná" brzda vyjadruje, že brzdy všetkých vozidiel sa:|môžu ovládať z jedného miesta|nemôžu ovládať z jedného miesta|neovládajú vzduchom
Hlavné potrubie v odbrzdenom stave je naplnené tlakom vzduchu:|spravidla 5,0 barov|asi 6,5 barov|minimálne 3,0 bar
Vzduch potrebný k plneniu brzdových valcov je pripravený v: (i)|pomocnom vzduchojeme|hlavnom vzduchojeme|prístrojovom vzduchojeme
Pri znížení tlaku v hlavnom potrubí brzdičom alebo záchranou brzdou sa prestavia rozvádzače do: (i)|brzdiacej polohy|odbrzďovacej polohy|pohotovostnej polohy
Priamočinné brzdy pri ktorých sa vpúšťa vzduch priamo do valca sa používajú:|ako prídavné na HKV|na zaisťovanie HKV a vlaku|na riadiacich vozňoch
Prevádzkový tlak samočinnej tlakovej brzdy je 5 barov. Plný brzdiaci účinok sa dosiahne v priebežnom potrubí pri znížení tlaku o:|1,5 bar|1 bar|3,5 bar
Stupňovito neodbrzďovateľná brzda sa odbrzdí:|už pri malom zvýšení tlaku v priebežnom potrubí|až po odbrzdení rušňovodičom|už pri malom znížení tlaku v hlavnom potrubí
Stupňovito odbrzďovateľné brzdy sú založené na trojtlakovom princípe. Na piesty pôsobí tlak z: (i)|hlavného potrubia, rozvodnej komory a brzdového valca|napájacieho potrubia, rozvádzača a tlak ovzdušia|hlavného potrubia, pomocného vzduchojemu a ovzdušia
Aký tlak je treba vyvinúť v brzdovom valci na prekonanie pasívnych odporov mechanickej časti brzdy a síl vratných pružín?|0,3 baru|0,4 baru|0,5 baru
Ktoré hlavné pneumatické obvody musia mať hnacie vozidlá? (i)|obvod výroby a rozvodu stlačeného vzduchu, samočinnej a priebežnej brzdy, obvod prístrojový|obvod výroby stlačeného vzduchu, priebežnej brzdy|obvod výroby stlačeného vzduchu, priebežnej brzdy, priamočinnej brzdy a obvod napájací
Čo je zdrojom stlačeného vzduchu na hnacích vozidlách?|kompresory|pomocné kompresory|plničky vzduchu z externého zdroja
Kompresory sú stavané na tlak 10 barov. Ktoré príslušenstvo majú na zabezpečenie samočinnej regulácie chodu? (i)|spúšťače, vypínače, regulačné ventily a tlakové spínače|medzichladiče , vypínače, záklopky, poistné ventily|odľahčovacie zariadenie, vypínacie zariadenie, odkvapnice
Aké kompresory, okrem hlavných sa používajú ešte na elektrických HV?|pomocné kompresory|prístrojový kompresor|napájací kompresor
Kompresor 3 DSK-100 je:|dvojstupňový radový, 3 valcový s vzduchovým chladením|jednostupňový, 2 valcový s vzduchovým chladením|jednostupňový, 3 valcový s usporiadaním valcov do „V“
Pomocné kompresory na elektrických hnacích vozidlách slúžia ako zdroj:|stlačeného vzduchu pre uvedenie elektrických HKV do pohotovostného stavu|tlaku pre prístroje a pomocné obvody|tlaku pre pneumatické pohony mechanizačných prostriedkov
Do príslušenstva kompresorov patrí: (i)|čistič vzduchu, tlmič sania, medzichladič, odľahčovacie ventily, automatické odľahčovacie zariadenie, manometre, poistné ventily a ventilátor|medzichladič, manometre, poistné ventily, chladenie a filter|medzichladič, odľahčovacie ventily, manometre a poistné ventily
Čistič vzduchu kompresora slúži na zabránenie vnikania:|hrubých nečistôt|vody a jemných nečistôt|prachu, pevných čiastočiek a vody
Tlmič nasávania kompresora:|znižuje hlučnosť pri saní vzduchu|odlučuje vodu, prach a znižuje hluk|čistí vzduch a znižuje jeho teplotu
Medzichladič kompresora:|znižuje teplotu vzduchu pri stláčaní kompresorom|znižuje teplotu vzduchu pri vytláčaní vzduch do hlavného vzduchojemu|zbavuje vzduch vlhkosti a olejových pár
Odľahčovací ventil kompresora umožňuje:|ľahší rozbeh a zastavenie kompresora|vypustenie vzduchu z medzichladiča a zároveň vypúšťa kondenzát|ľahšie zastavenie kompresora
Na hnacích vozidlách sa používa regulácia chodu kompresora prestavením kompresora do chodu naprázdno. Jedná sa o reguláciu:|vypínačom, spúšťačom, regulačným ventilom, odtláčaním doštičiek nasávacích ventilov v kombinácii s tlakovým spínačom EPV|spojkami vzduchovou a elektromagnetickou, prevodovkami a regulačnými ventilmi|tlakovým spínačom a elektromagnetickou spojkou
Pri prestavovaní kompresora do chodu naprázdno pomocou vypínača a spúšťača vypínača, má vypínač funkciu:|zachytáva zvyšky oleja, udržiava tlak v hlavných vzduchojemoch a uvádza kompresor do chodu naprázdno|zachytáva zvyšky oleja a vzduchových okruhoch rušňa|zachytáva zvyšky oleja, spúšťa a zastavuje kompresor rušňa
Regulácia chodu kompresora tlakovým spínačom sa používa pri kompresore poháňanom:|samostatným elektromotorom|spaľovacím motorom rušňa|pri motorových vozňoch s hydrodynamickým prenosom výkonu
Ako sa nazýva vzduchové potrubie medzi kompresorom a hlavným vzduchojemom?|výtlačné potrubie|potrubie medzichladiča|zásobovacie potrubie
Hlavný vzduchojem musí mať ako tlaková nádoba bezpečnostné zariadenie. Tvorí ho:|poistný ventil, manometer, výrobný štítok a uzatváracie a vypúšťacie zariadenie|odolejovač, vysúšač, manometer, výrobný štítok, poistný ventil|spätná záklopka, vysúšač, výrobný štítok, poistný ventil a uzatváracie a vypúšťacie zariadenie
Na čo slúži a kde sa umiestňuje vypúšťacie zariadenie hlavného vzduchojemu?|na odvodňovanie kondenzátu a umiestňuje sa na najnižšom mieste hlavného vzduchojemu|vypúšťa sa ním voda zo vzduchového okruhu a umiestňuje sa na najvyššomm mieste hlavného vzduchojemu|vypúšťa sa ním voda a olej zo vzduchového okruhu a umiestňuje sa v strede hlavného vzduchojemu
Pracovný tlak v obvodoch tlakovej brzdy sa reguluje:|brzdičom|upravovačom tlaku a škrtičom|tlakovým spínačom, škrtičom, poistným ventilom, vypínačom a spúšťačom
Pre spojkové kohúty a hlavice napájacieho potrubia je predpísaný:|žltý náter|červený náter|zelený náter
Hlavné potrubie je na hnacom vozidle vyvedené z:|brzdiča samočinnej brzdy na obe čelá HKV|napájacieho potrubia na obe čelá HKV|hlavného vzduchojemu na obe čelá HKV
Pre spojkové kohúty a hlavice hlavného potrubia je predpísaný:|červený náter|kombinovaný náter, žlté hlavice a červené kohúty|žltý náter
Odolejovač zachytáva:|častice oleja unášané stlačeným vzduchom od kompresora|častice oleja a prachu vo vzduchu|vodu a olej vo vzduchu
Odkapnica sa vkladá:|na hlavné alebo napájacie potrubie HV a zhromažďuje sa v nej vyzrážaná voda|do potrubia na zachytávanie čiastočiek oleja a väčších nečistôt|do potrubia na zachytávanie prachu, oleja a vody
Prachojem v hlavnom potrubí slúži na:|zachytávanie špecifických ťažších častíc v stlačenom vzduchu|zachytávanie ľahších nečistôt, ktoré unáša stlačený vzduch|zachytávanie všetkých nečistôt, ktoré sa ešte nachádzajú v hlavnom potrubí
Filtre v odbočkách napájacieho potrubia slúžia na:|privádzanie stlačeného vzduchu k prístrojom a odstraňujú jemné nečistoty|zachytávanie väčších nečistôt|zachytávanie väčších nečistôt pred vstupom do brzdičov a škrtičov vzduchu 
Spätná záklopka je zariadenie, ktoré:|dovoľuje priechod vzduchu len jedným smerom|oddeľuje obvody vzduchu za kompresorom|rozvádza vzduch do brzdových obvodov HKV
Dvojitá spätná záklopka oddeľuje od seba:|dva obvody tlakovej brzdy HKV|obvod kompresora a obvod vzduchotlakovej brzdy|obvod napájacieho a priebežného potrubia
V systéme rozvodu stlačeného vzduchu kohúty slúžia: (i)|na uzatváranie a otváranie vstupu do brzdových alebo prístrojových obvodov|ako montážne prvky|na dovolenie priechodu vzduchu jedným smerom
Kohúty sú konštruované na tlak: (i)|10 barov|20 barov|15 barov
Medzi vzduchovou spojkou priebežného potrubia a vzduchovou spojkou napájacieho potrubia je rozdiel:|v zrkadlovom vyhotovení ich tvarov|v rozdielnom materiáli z ktorého boli zhotovené|vo veľkosti spojok
Prepúšťač je prístroj, ktorý sa používa systéme rozvodu vzduch HV, montuje sa: (i)|medzi hlavný a prístrojový vzduchojem|medzi hlavný a pomocný vzduchojem|od kompresora k hlavnému vzduchojemu
Prepúšťač na HV zabraňuje tomu, aby sa pri plnení: (i)|prázdneho hlavného vzduchojemu súčasne plnil aj prístrojový vzduchojem|prázdneho hlavného potrubia súčasne plnil aj pomocný vzduchojem|jedného vzduchojemu súčasne plnil aj druhý vzduchojem hlavného vzduchojemu
Poistné ventily sú súčasťou armatúry , ktorá zabezpečuje prevádzku tlakových nádob a pripojených priestorov. Používajú sa ako ochrana:|proti prekročeniu maximálneho prevádzkového tlaku vo vzduchojemoch|pracovného tlaku vo výtlačnom potrubí a prístrojovom potrubí HV|prevádzkového tlaku vo všetkých obvodoch HV
Na hnacích vozidlách sa tlakomery požívajú na meranie:|tlaku v hlavnom potrubí, hlavnom vzduchojeme, brzdových valcoch, prístrojovom vzduchojeme a iných obvodoch|tlaku v hlavných vzduchojemoch, priebežnom potrubí|výtlaku I. a II. Stupňa kompresie, hlavnom, pomocnom a zásobovačom vzduchojeme
Prietokomer je kontrolný prístroj, ktorý sa vkladá do:|napájacieho potrubia, pred brzdič samočinnej brzdy a signalizuje pretekanie zvýšeného množstva vzduchu brzdičom|priebežného potrubia, za brzdič samočinnej brzdy a signalizuje svetelne a akusticky poruchu vo vzduchovom obvode HV|napájacieho potrubia, pred záklopku záchrannej brzdy a signalizuje otvorenie záklopky a tým aj možnosť premostenia záchrannej brzdy
Priebežná samočinná brzda vlaku reguluje rýchlosť alebo zastavenie vlaku v požadovaných miestach. Účinkovanie brzdy sa vyvoláva zmenou: (i)|prevádzkového tlaku v hlavnom potrubí (5 barov)|napájacieho tlaku v napájacom potrubí (10 barov)|plniaceho tlaku v brzdiči samočinnej brzdy (5 barov)
Čím je oddelený obvod priamočinnej a samočinnej brzdy od seba?|dvojitými spätnými záklopkami|spätnými záklopkami a tlakovým relé|spätnými záklopkami a škrtičom
Aké polohy má brzdič DAKO BSE?|Š, P, Z, O, J, B, R|VŠ, Z, J, B, O, R|NP, Z, O, J, B, Z, R
Aké polohy má brzdič DAKO BS/2?|VŠ, J, N, B-O, Z, R|VŠ, NP, N, J, B-O, R|Záver, J, B-O, Z, R
Plnenie brzdy na prevádzkový tlak pri brzdiči DAKO BSE rušňovodič prevedie:|rukoväťou ovládača OBE1 podrží v polohe prevádzkového odbrzdenia "O" a po asi 20 sek. sa rukoväť prestaví do polohy jazdnej "J"|rukoväťou ovládača OBE1 podrží v polohe vysokotlaký švih "VŠ" a po asi 10 sek. sa rukoväť prestaví do polohy jazdnej "J"|rukoväťou ovládača OBE1 podrží v polohe jazda "J", pokiaľ sa tlak neustáli
Záver brzdiča DAKO BSE, poloha "Z" sa používa pri:|zisťovaní tesnosti brzdy v odbrzdenom stave|odvetrávaní riadiaceho vzduchojemu|uzamknutí brzdiča
Poloha "B"- prevádzkové brzdenie, brzdiča DAKO BSE sa používa na zavádzanie brzdiaceho stupňa, ktorý sa preruší prestavením rukoväte ovládača OB1 do polohy:|"J"|"O"|"Z"
Poloha "R"- rýchločinné brzdenie sa používa: (i)|v prípade nebezpečenstva|na pomalšie zavedenie brzdiaceho stupňa|na rýchlejšie zavedenie brzdiaceho stupňa
U brzdiča DAKO BSE na nečinnom hnacom vozidle sa prestaví rukoväť ovládača na obidvoch stanovištiach do polohy:|"Z", a preruší sa spojenie s hlavným potrubím|"R", a preruší sa spojenie s hlavným potrubím|"O", a uzavrie sa kohút pre napájanie brzdiča
Účinkovanie brzdiča DAKO-BP sa vykonáva nasledovne:|pri brzdení sa otáča rukoväťou brzdiča proti smeru otáčania hodinových ručičiek a pri odbrzďovaní sa natáča rukoväť v smere chodu hodinových ručičiek|pri brzdení sa otáča rukoväťou brzdiča v smeru otáčania hodinových ručičiek a pri odbrzďovaní sa natáča rukoväť proti smeru chodu hodinových ručičiek|rukoväť brzdiča sa nastaví do polohy brzdenie "B" a pri odbrzďovaní sa nastaví polohu "O"
Rušňové odbrzďovače slúžia na operatívne zníženie:|účinku samočinnej tlakovej brzdy HKV|účinku samočinnej brzdy vlaku|tlaku v brzdových valcoch pri použití priamočinnej brzdy HKV
Rušňový odbrzďovač DAKO OL - 2 je zariadenie ktoré slúži pri:|prevádzkovom brzdení vlaku na operatívne zníženie brzdiaceho účinku HKV|brzdení vlaku na operatívne zníženie brzdiaceho účinku vlaku|prevádzkovom odbrzďovaní vlaku na operatívne zníženie brzdiaceho účinku HKV
Stav kotúčovej brzdy je signalizovaná farbami, ktoré vyjadrujú:|čierna farba - brzda je bez vzduchu, zelená farba- brzda je odbrzdená, červená farba- brzda je zabrzdená|žltá farba - brzda je bez vzduchu, zelená farba – brzda je zabrzdená, červená farba – brzda je odbrzdená|zelená farba - brzda je bez vzduchu, biela farba – brzda je odbrzdená, červená farba – brzda je zabrzdená