Chybná obsluha tlakových nádob v rámci porúch z prevádzkových príčin spočíva v:|neodbornej manipulácii s armatúrou, nepozornosti pri manipulácii|nesprávnom pevnostnom výpočte, nesprávne volenom tvare|plechoch nevhodnej kvality, preplátavaných spojoch s kútovými zvarmi
Musí mať každá tlaková nádoba uzatváracie zariadenie na odpojenie nádoby od potrubia, ktoré privádza prípadne odvádza pracovnú látku?|áno|nie|nie, iba na stabilných tlakových nádobách
Pri akom tlaku pôsobiacom na steny nádoby vnútorným alebo vonkajším pretlakom, považujeme nádobu za tlakovú?|0,5 baru|1 bar|1,5 baru
Prevádzkové príčiny porúch tlakových nádob sú:|chybná obsluha, chybná údržba|nesprávny pevnostný výpočet, nesprávne volený tvar|plechy nevhodnej kvality, pórovité odliatky
Údaje z každého manometra sa porovnávajú s údajmi kontrolného manometra aspoň raz za:|rok a po každej oprave|2 roky a po každej oprave|pol roka a po každej oprave
Poistné zariadenie v tlakovej nádobe zamedzuje:|prekročeniu najvyššieho (dovoleného) pracovného pretlaku a najvyššej (dovolenej) pracovnej teplote|úniku prevádzkového tlaku|najvyššej (dovolenej) pracovnej teplote
Zariadny stav tlakových nádob a na zamedzenie nebezpečenstva z ich používania v prevádzke dozerá pracovník:|ktorý zariadenie obsluhuje a pracovník poverený prevádzkovým dozorom|prednosta dopravcu|vedúci železničnej opravovne
Každá tlaková nádoba musí mať umiestnený továrenský štítok na:|vhodnom, trvalo viditeľnom mieste|vrchnej časti nádoby|vstupnom potrubí
Akú výstroj (armatúru) musí mať každá tlaková nádoba?|poistné zariadenie, manometer, uzatváracie a vypúšťacie zariadenie, továrenský štítok|poistné zariadenie, manometer, spájacie potrubie, revízna kniha, plomby|poistné zariadenie, manometer, tlakomer, revízna kniha
Údržbu a obsluhu tlakových nádob môžeme zveriť:|len spoľahlivým, vopred oboznámeným osobám|osobám, ktoré určí manažér infraštruktúry|ktorýmkoľvek podnikateľským subjektom
Poistné ventily sa musia nastaviť tak, aby sa otvárali v nádobe pri dosiahnutí:|najvyššieho pracovného pretlaku|minimálneho pretlaku|1,2 násboku pracovného pretlaku
Musí mať každá tlaková nádoba zariadenie na vypúšťanie obsahu nádoby alebo na vypúšťanie tvoriaceho sa kondenzátu?|áno|nie|nie, iba na stabilných tlakových nádobách
Akú povinnosť má obsluha tlakových nádob pred uvedením zariadenia do chodu?|prezrie a preskúša celé zariadenie|zapne kompresor|môže ho hneď uviesť do chodu
Musí mať každá tlaková nádoba spoľahlivý manometer?|áno|nie|nie, iba pri niektorých zariadeniach
Továrenský štítok musí obsahovať údaje:|výrobca, výrobné číslo, rok výroby, najvyšší pracovný pretlak a teplotu, objem v litroch, políčka pre dáta periodických skúšok|výrobca, výrobné číslo, rok výroby, najvyšší pracovný pretlak a teplotu, objem v dm3|výrobca, výrobné číslo, objem v dm3, plombu
Továrenský štítok sa pripevní na stenu tlakovej nádoby:|neodoberateľne aspoň dvomi roznitovanými skrutkami alebo nitmi|rozoberateľne aspoň dvomi skrutkami alebo nitmi|nerozoberateľne aspoň jednou roznitovanou skrutkou alebo nitom
Používateľ tlakovej nádoby podlieha súdnemu stíhaniu podľa trestného zákona ak:|použije tlakovú nádobu, ktorá nebola úradne preskúšaná a uznaná za schopnú prevádzky|neodvodní dostatočne tlakovú nádobu|rozmrazuje primrznuté odvodňovacie ventily otvoreným ohňom
Prevádzková revízia na tlakových nádobách sa musí počas prevádzky tlakovej nádoby vykonať najmenej raz za:|rok|dva roky|tri roky
Nádoby, ktoré sa vyradili z prevádzky preto, že sa už nemôžu používať ako tlakové nádoby sa:|znehodnotí továrenský štítok preseknutím v uhlopriečke|preseknú na továrenskom štítku zvisle|označia farebným nápisom na nádobe - vyradené
Červená značka na manometri označuje:|najvyšší (dovolený) pracovný pretlak|najvyšší tlak manometra|tlak, ktorý dosiahne zdroj stlačeného vzduchu
Tlakové nádoby musia byť zhotovené a používané ( obsluhované ) v prevádzke tak, aby nevzniklo nebezpečenstvo pre život:|a zdravie ani osobám pri nich zamestnaným, ani širšiemu okoliu|širšiemu okoliu|osobám pri nich zamestnaným
Správny postup obsluhy použitia odvodňovacieho kohúta pri odvodňovaní je:|neotvárať úplne, len pootvoriť (natrhnúť)|otvoriť úplne|otvoriť úplne a potom mierne privrieť
Musí byť každý manometer plombovaný?|áno|nie|nie, iba na stanovišti HKV
Výkon poistného ventilu má byť:|úmerný výkonu kompresora|úmerný prietoku uzatváracím ventilom|aby spoľahlivo udržal zvýšený pretlak