Minimálne koľko zvitkov náhradného prúžka alebo tachografového krúžka musí mať rušňovodič pri nástupe do služby na vozidlo, ktoré je vybavené mechanickým registračným rýchlomerom?|jeden zvitok náhradného prúžka alebo tachografového krúžku|ani jeden|aspoň 3
Pred jazdou ŽV s mechanickým registračným rýchlomerom je rušňovodič povinný nastaviť na hodinách presný čas?|áno|nie|len ak bol na to upozornený odchádzajúcim kolegom
Je rušňovodič povinný pred jazdou ŽV s mechanickým registračným rýchlomerom natiahnuť hodinový mechanizmus rýchlomera?|áno|nie|len ak bol na to upozornený odchádzajúcim kolegom
Je rušňovodič povinný pred jazdou ŽV s mechanickým registračným rýchlomerom presvedčiť sa o dostatočnej zásobe záznamového média na uvažovanú jazdu?|áno|nie|len ak bol na to upozornený odchádzajúcim kolegom
Je rušňovodič povinný pred jazdou ŽV s mechanickým registračným rýchlomerom skontrolovať bezchybnosť posuvu záznamového média?|áno|len ak bol na to upozornený odchádzajúcim kolegom|nie
Je rušňovodič povinný pred jazdou ŽV s mechanickým registračným rýchlomerom skontrolovať funkčnosť registrácie písadlami?|áno|nie|len ak bol na to upozornený odchádzajúcim kolegom
Na nedostatočnú zásobu rýchlomerového prúžka v prevádzke je rušňovodič upozornený:|farebnou značkou na prúžku, ktorá sa objaví v priehľadnom okienku|zvukovým zariadením rýchlomera|zastavením železničného vozidla
Keď sa počas prevádzky pretrhne rýchlomerový prúžok rušňovodič:|odovzdá jeho všetky časti|nerobí žiadne opatrenia|zlepí ich sekundovým lepidlom a tak ich odovzdá určenému zamestnancovi
Kontrola rýchlomerových prúžkov sa vykonáva:|náhodne|len po nehode|pravidelne
Záznamy z elektronického rýchlomera sa archivujú:|5 rokov|1 rok|10 rokov
Môže rušňovodič v prípade nehody manipulovať s rýchlomerom?|nie|áno|áno, ale len pri prevádzkových poruchách
Ktoré brzdové klátiky sa kontrolujú pri skúške zaisťovacej brzdy?|všetky klátiky (brzdové obloženia) na všetkých dvojkolesiach prislúchajúcich k zaisťovacej brzde z kontrolovanej strany vozňa|na ľubovoľnom klátiku z kontrolovanej strany vozňa|všetky klátiky (brzdové obloženia) na všetkých dvojkolesiach z oboch strán vozňa
Ktoré klátiky (ich správne doľahnutie a odľahnutie) sa kontrolujú pri skúške zaisťovacej brzdy na vozidlách s klátikovou brzdou?|všetky klátiky na všetkých dvojkolesiach prislúchajúcich k zaisťovacej brzde z kontrolovanej strany vozňa|vonkajšie klátiky z kontrolovanej strany vozňa|všetky klátiky na všetkých dvojkolesiach z oboch strán vozňa
V nákladnom vlaku brzdenom v režime "P" sú v skupine vypnuté z priebežnej brzdy 2 podvozkové (4 nápravové) vozne. Akú rýchlosť nesmie vlak prekročiť?|100 km/h|120 km/h|65 km/h
Koľko vozidiel (počet náprav) bez funkčnej priebežnej brzdy môže byť v jednej skupine vlaku nákladnej dopravy s predpísaným režimom brzdenia "P"?|8 náprav|6 náprav|12 náprav
Koľko náprav nesmie mať jedna skupina spojených vozidiel s vypnutou priebežnou brzdou vo vlaku s predpísaným režimom brzdenia G, ak ide o skupinu vozidiel medzi činným HKV a prvým priebežne brzdeným vozidlom?|viac ako 8 náprav|viac ako 12 náprav|viac ako 16 náprav
Koľko náprav nesmie mať jedna skupina spojených vozidiel s vypnutou priebežnou brzdou vo vlaku s predpísaným režimom brzdenia G, ak ide o prázdne vozne alebo vozne kĺbové?|viac ako 16 náprav|viac ako 12 náprav|viac ako 8 náprav
Koľko náprav nesmie mať jedna skupina spojených vozidiel s vypnutou priebežnou brzdou vo vlaku s predpísaným režimom brzdenia G, ak ide o skupinu, v ktorej sú všetky vozne naložené?|viac ako 12 náprav|viac ako 16 náprav|viac ako 8 náprav
Koľko vozňov (náprav) brzdených v režime G je dovolené ponechať vo vlaku nákladnej dopravy s predpísaným režimom brzdenia P?|2 vozne (8 náprav)|žiadny vozeň|3 vozne (10 náprav)
Koľko vozňov (náprav) brzdených v režime P je dovolené ponechať vo vlaku nákladnej dopravy s predpísaným režimom brzdenia G?|2 vozne (najviac 8 náprav)|žiadny vozeň|3 vozne (10 náprav)
Ako sa postupuje, ak vlak nákladnej dopravy došiel brzdený v režime P a v ďalšej jazde má bez zmeny zostavy pokračovať ako vlak s predpísaným režimom brzdenia G?|smie zostať brzdený v režime P za podmienky, že bude vyhotovená nová Správa o brzdení s príslušným potrebným brzdiacim percentom podľa ZCP|smie zostať brzdený v režime P, nová správa o brzdení sa nevyhotovuje|takýto postup nie je možný
Aká skúška brzdy sa vykoná pred odchodom vlaku z východiskovej stanice alebo stanice odstavenia, ak od poslednej úplnej skúšky brzdy uplynulo viac ako 24 hodín?|úplná skúška brzdy|žiadna|jednoduchá skúška brzdy
Kedy vykoná rušňovodič skúšku tesnosti priebežnej brzdy?|pred úplnou skúškou brzdy|pred prvým použitím priebežnej brzdy|v čase stanovenom Prevádzkovým poriadkom
Priebežná brzda sa považuje za netesnú pri poklese tlaku v hlavnom potrubí o viac ako 0,5 baru za:|2 minúty|3 minúty|5 minút
Pri akom poklese teploty sa v zimnom období na vlaku nákladnej dopravy po naplnení hlavného potrubia na prevádzkový tlak musí rýchločinne zabrzdiť a potom jednorázovo odbrzdiť, aby sa uvoľnilo stuhnuté brzdové tyčovie?|pri poklese teploty pod +2°C|pri poklese teploty pod -2°C|pri poklese teploty pod 0°C
Pri úplnej skúške brzdy na nákladnom vlaku zisťujeme odbrzďovací čas. Ako sa postupuje pri prekročení odbrzďovacieho času?|musí sa zistiť a odstrániť príčina nedostatočnej priechodnosti hlavného potrubia a úplná skúška brzdy vlaku sa musí zopakovať|rušňovodič niekoľkokrát za sebou zabrzdí a odbrzdí a meranie sa zopakuje|odpojí sa manometer a prefúkne sa krátkym otvorením spojkového kohúta brzdová spojka
Musí byť HKV, z ktorého je ovládaná priebežná brzda vlaku pri vykonávaní úplnej skúšky brzdy na nákladnom vlaku zabrzdené priamočinnou brzdou?|musí byť úplne zabrzdené priamočinnou brzdou|musí byť odbrzdené|musí byť zabrzdené zaisťovacou brzdou
Čo oznámi zamestnanec rušňovodičovi, ktorý vykonal úplnú skúšku brzdy?|jej výsledok|na ktorých vozňoch sú prestavovače v polohe prázdny|na ktorých vozňoch vypol brzdu
Na ktorom vozni sa vykoná jednoduchá skúška brzdy pred odchodom odstaveného vlaku zo stanice?|vždy na poslednom vozni|spravidla na poslednom vozni, najďalej na treťom vozni od konca vlaku|na hociktorom brzdenom vozidle za miestom rozpojenia
Aká skúška brzdy sa vykonáva pred odchodom odstaveného vlaku zo stanice, ak neuplynulo od vykonania poslednej úplnej skúšky brzdy viac ako 24 hodín?|jednoduchá skúška brzdy|úplná skúška brzdy|žiadna
Kto vyrozumie rušňovodiča o výsledku jednoduchej skúšky brzdy?|zamestnanec, ktorý jednoduchú skúšku brzdy vykonal|vždy len vozmajster|zamestnanec určený Prevádzkovým poriadkom
Vo vlaku je zaradených viac obsadených hnacích vozidiel. Rušňovodič vedúceho hnacieho vozidla prekročí stanovenú rýchlosť vlaku. Rušňovodič iného HKV zaradeného vo vlaku musí vykonať opatrenia na zastavenie vlaku:|ak, skutočná rýchlosť vlaku prekročí o 15 km/h a viac stanovenú rýchlosť vlaku|ak, skutočná rýchlosť vlaku prekročí o 10 km/h a viac stanovenú rýchlosť vlaku|ak, skutočná rýchlosť vlaku prekročí o 5 km/h a viac stanovenú rýchlosť vlaku
Musí rušňovodič po odchode vlaku zo stanice, kde bola vykonaná jednoduchá skúška brzdy, overiť správny účinok priebežnej brzdy?|musí|nemusí|počas mrazov a odmäku
Priebežná brzda na vlaku, ktorý zastavil na šírej trati alebo v stanici sa smie úplne odbrzdiť:|len v tom prípade, ak je vlak spoľahlivo zaistený proti neúmyselnému pohybu prídavnou brzdou HKV|na sklone do 2,5 promile|len v tom prípade, ak je vlak spoľahlivo zaistený proti neúmyselnému pohybu prídavnou brzdou HKV na sklone do 2,5 promile
Smie sa použiť ručný odbrzďovač vozňa pri vykonávaní jednoduchej alebo úplnej skúške brzdy?|nie|áno|áno, ale len pri vykonaní jednoduchej skúške brzdy
Ručné odbrzďovače vozňov sa môžu použiť na:|vyprázdnenie priestoru brzdy po vypnutí rozvádzača, odbrzdenie odpojených vozidiel, odstránenie prebitia brzdy|ručné odbrzdenie vozňa|ručné odbrzdenie vlaku, vyprázdnenie priestoru brzdy po vypnutí rozvádzača, odbrzdenie pripojených vozidiel, odstránenie prebitia brzdy
Brzdiaca hmotnosť pre príslušný režim brzdenia sa zistí:|z nápisu na skrini vozidla alebo na prestavovači|z predpisu D 2/1|zo ZCP
Aké prestavovače môžu byť použité na vozňoch?|Prázdny / čiastočne naložený / naložený|Prázdny / ložený|Prázdny / nenaložený